               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070995,            0.041013,            0.011266,             0.68424,              0.6998,             0.66732,             0.36905,             0.03888,            0.032971,           0.0013072,            0.070039,            0.003329,            0.003329
                   1,            0.050848,            0.034168,           0.0022243,             0.77682,             0.72213,             0.74743,             0.42222,            0.036315,            0.034155,            0.001063,            0.039973,           0.0065963,           0.0065963
                   2,            0.047766,            0.033455,           0.0015901,             0.73198,             0.70766,             0.72534,             0.34024,             0.03687,            0.032851,           0.0017514,           0.0098414,           0.0097977,           0.0097977
                   3,            0.045526,            0.034107,           0.0013194,             0.79648,             0.78615,             0.79172,             0.45489,            0.031599,            0.032286,            0.000618,            0.009703,            0.009703,            0.009703
                   4,            0.041863,            0.032189,          0.00094871,             0.82206,             0.75978,             0.80899,             0.49014,             0.03063,            0.033772,          0.00097142,            0.009703,            0.009703,            0.009703
                   5,            0.039761,            0.031002,          0.00076723,             0.82357,             0.82452,             0.83212,             0.49886,            0.030144,            0.030752,          0.00077358,            0.009604,            0.009604,            0.009604
                   6,            0.039041,            0.030935,          0.00061433,             0.87472,             0.82434,             0.85174,             0.55892,            0.028063,            0.030135,           0.0002083,            0.009505,            0.009505,            0.009505
                   7,            0.037701,            0.030141,          0.00050924,              0.8482,             0.79943,             0.80891,             0.50651,            0.029416,            0.031025,          0.00016363,            0.009406,            0.009406,            0.009406
                   8,            0.037498,            0.029686,          0.00047851,             0.86786,             0.81623,             0.84725,             0.55884,            0.027928,            0.031099,           0.0001525,            0.009307,            0.009307,            0.009307
                   9,            0.036884,            0.029765,          0.00041512,              0.8584,             0.81406,             0.82352,             0.53458,            0.028228,            0.031492,          0.00024727,            0.009208,            0.009208,            0.009208
                  10,            0.036003,            0.028995,          0.00043244,             0.88871,             0.83222,             0.86662,               0.565,            0.027189,            0.029999,           0.0001465,            0.009109,            0.009109,            0.009109
                  11,            0.035916,            0.028895,          0.00036787,             0.87287,             0.84761,             0.86171,             0.56612,            0.027463,            0.029739,          0.00018272,             0.00901,             0.00901,             0.00901
                  12,            0.035455,            0.028257,          0.00035032,             0.87666,             0.83958,              0.8598,             0.55985,            0.027452,            0.029831,          0.00024912,            0.008911,            0.008911,            0.008911
                  13,            0.035611,            0.028638,          0.00029693,             0.87531,             0.84573,             0.86402,             0.58707,            0.026758,            0.029442,          0.00011077,            0.008812,            0.008812,            0.008812
                  14,            0.034774,            0.028214,          0.00033905,             0.87388,             0.84496,             0.85568,             0.56838,            0.026903,            0.030214,          0.00020146,            0.008713,            0.008713,            0.008713
                  15,            0.034869,            0.028031,          0.00029362,             0.87938,             0.84911,             0.86528,             0.58713,            0.026617,            0.029725,          0.00021172,            0.008614,            0.008614,            0.008614
                  16,            0.034352,            0.027915,          0.00030969,             0.89366,             0.84931,             0.86891,             0.58447,            0.026982,             0.02901,          0.00014336,            0.008515,            0.008515,            0.008515
