               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.013729,            0.010651,           0.0031555,             0.89214,             0.88817,             0.91309,              0.7303,            0.011084,           0.0092349,           0.0085339,            0.070263,           0.0033041,           0.0033041
                   1,            0.018674,            0.011316,           0.0030795,             0.89123,             0.89506,              0.9141,             0.70278,            0.012339,           0.0090393,           0.0076675,            0.040181,           0.0065553,           0.0065553
                   2,            0.023197,            0.011958,             0.00391,             0.90345,             0.82401,             0.88856,             0.61025,            0.015693,           0.0090298,            0.011166,            0.010016,            0.009724,            0.009724
                   3,            0.025076,            0.012473,           0.0060678,             0.76594,             0.81154,             0.79323,             0.52884,            0.015934,            0.011128,            0.018773,           0.0096288,           0.0096288,           0.0096288
                   4,            0.025469,            0.013231,           0.0068587,             0.72949,             0.85149,             0.87831,             0.66868,            0.013596,           0.0097639,            0.012949,           0.0096288,           0.0096288,           0.0096288
                   5,            0.024072,            0.013516,           0.0065979,             0.72299,             0.73457,             0.76992,             0.56928,            0.015375,           0.0094477,            0.022165,            0.009505,            0.009505,            0.009505
                   6,            0.025607,            0.013083,           0.0063129,             0.74155,             0.78052,             0.81109,             0.55691,            0.016513,           0.0099436,            0.022928,           0.0093813,           0.0093813,           0.0093813
                   7,            0.024377,            0.013396,           0.0066064,             0.76654,             0.52096,             0.57964,             0.37607,            0.019098,            0.023412,            0.037618,           0.0092575,           0.0092575,           0.0092575
                   8,            0.023742,            0.013102,           0.0066427,             0.76644,              0.5531,             0.58527,              0.4365,            0.014702,            0.021084,            0.033956,           0.0091337,           0.0091337,           0.0091337
                   9,            0.023699,            0.013086,            0.006879,             0.79946,             0.72858,              0.8305,             0.62044,            0.014813,           0.0093604,             0.01819,             0.00901,             0.00901,             0.00901
                  10,            0.022811,            0.013304,           0.0073269,             0.80402,             0.62169,             0.72965,             0.53683,            0.015072,            0.013695,            0.027471,           0.0088863,           0.0088863,           0.0088863
                  11,             0.02296,            0.012699,            0.005988,             0.85712,             0.85226,             0.88435,             0.63281,            0.013169,             0.01007,            0.013646,           0.0087625,           0.0087625,           0.0087625
                  12,            0.022502,            0.013129,           0.0061931,             0.83233,             0.83704,              0.9061,             0.69278,            0.013937,           0.0089165,            0.010191,           0.0086388,           0.0086388,           0.0086388
