               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.02603,            0.021162,          3.5177e-05,             0.87527,             0.85423,             0.87108,             0.61964,            0.024796,              0.0311,           0.0003741,            0.070039,            0.003329,            0.003329
                   1,            0.027914,             0.02201,          6.5185e-05,             0.88485,             0.83912,             0.85667,             0.59237,            0.026848,            0.031508,          0.00011422,            0.039973,           0.0065963,           0.0065963
                   2,            0.030891,            0.023869,          0.00015438,             0.87061,             0.80975,               0.831,             0.55603,             0.02767,            0.031134,          0.00022238,           0.0098414,           0.0097977,           0.0097977
                   3,            0.033171,            0.026597,           0.0003112,             0.86836,             0.80803,             0.84477,             0.56323,            0.027556,            0.031122,           0.0004215,            0.009703,            0.009703,            0.009703
                   4,             0.03255,            0.026102,          0.00030152,             0.86591,             0.79738,               0.829,              0.5505,            0.027672,            0.033367,          0.00013864,            0.009703,            0.009703,            0.009703
                   5,            0.032059,            0.025785,          0.00027374,             0.86634,             0.80598,             0.83372,             0.55746,            0.027511,            0.032105,          0.00022606,            0.009604,            0.009604,            0.009604
                   6,             0.03208,            0.026104,          0.00027353,             0.87807,             0.82906,             0.85156,             0.57561,            0.026941,            0.030071,          0.00012903,            0.009505,            0.009505,            0.009505
                   7,            0.031777,            0.025802,          0.00023036,             0.88369,             0.84807,               0.865,             0.57918,            0.026344,            0.029993,          0.00010266,            0.009406,            0.009406,            0.009406
                   8,            0.032001,            0.025608,          0.00023727,             0.88115,             0.83045,             0.85666,             0.58532,            0.026863,            0.031658,          0.00014334,            0.009307,            0.009307,            0.009307
                   9,            0.031811,            0.025876,          0.00020824,              0.8627,             0.84139,             0.84441,              0.5642,            0.027116,            0.030464,          0.00018987,            0.009208,            0.009208,            0.009208
                  10,             0.03136,            0.025428,          0.00022343,             0.88097,             0.84068,             0.86407,              0.5967,            0.025831,            0.030066,          0.00037669,            0.009109,            0.009109,            0.009109
                  11,            0.031573,            0.025496,          0.00022392,             0.89629,             0.85659,             0.86738,             0.58736,            0.026255,            0.029755,          9.1755e-05,             0.00901,             0.00901,             0.00901
                  12,            0.031313,             0.02503,          0.00018399,             0.87748,             0.84626,             0.86072,              0.5883,            0.026277,            0.030668,          0.00010096,            0.008911,            0.008911,            0.008911
                  13,            0.031636,            0.025442,          0.00018657,              0.8828,             0.84613,             0.86848,             0.60624,            0.025653,            0.029906,          0.00011979,            0.008812,            0.008812,            0.008812
                  14,               0.031,            0.025255,          0.00019799,             0.87865,             0.84382,             0.85575,             0.58432,            0.026539,            0.031432,          0.00010388,            0.008713,            0.008713,            0.008713
                  15,             0.03112,             0.02508,          0.00017461,             0.88189,             0.84238,             0.86138,             0.58354,            0.025949,            0.029996,          0.00010984,            0.008614,            0.008614,            0.008614
                  16,            0.030824,            0.025103,          0.00018657,             0.88507,             0.85863,             0.87405,             0.59826,            0.025675,            0.029524,           0.0001588,            0.008515,            0.008515,            0.008515
                  17,             0.03077,            0.025241,          0.00016968,             0.89787,             0.85029,             0.87923,             0.61347,            0.025506,            0.029819,           0.0001434,            0.008416,            0.008416,            0.008416
                  18,            0.030804,            0.024744,          0.00018477,             0.87263,             0.84707,              0.8475,             0.57865,            0.025914,            0.030595,          0.00022426,            0.008317,            0.008317,            0.008317
                  19,            0.030551,            0.024731,          0.00018434,             0.88635,             0.85331,             0.87327,             0.61293,            0.025201,            0.029842,          9.0465e-05,            0.008218,            0.008218,            0.008218
                  20,            0.030241,            0.024703,          0.00014753,             0.89195,             0.85966,             0.87943,             0.60851,            0.025248,            0.030172,          7.9667e-05,            0.008119,            0.008119,            0.008119
                  21,            0.030183,            0.024458,          0.00015811,             0.89296,             0.84318,             0.86853,             0.60813,            0.025902,            0.030738,          0.00024457,             0.00802,             0.00802,             0.00802
                  22,            0.030154,            0.024468,          0.00016668,             0.87821,             0.85967,             0.87254,             0.60973,            0.025634,            0.029754,          0.00031579,            0.007921,            0.007921,            0.007921
                  23,            0.030408,            0.024596,           0.0001543,             0.88401,             0.85778,             0.87865,             0.61946,            0.025199,            0.030284,          0.00038091,            0.007822,            0.007822,            0.007822
                  24,            0.030474,            0.024862,           0.0001529,             0.89404,             0.86348,             0.87659,              0.6142,            0.024869,            0.029788,          6.6415e-05,            0.007723,            0.007723,            0.007723
                  25,            0.029738,            0.024482,          0.00014058,             0.89055,             0.85253,             0.86588,             0.59706,            0.026186,            0.030117,          6.6289e-05,            0.007624,            0.007624,            0.007624
                  26,            0.029715,             0.02416,          0.00012402,             0.88492,             0.84944,             0.86715,             0.61292,            0.025147,            0.030559,          6.8526e-05,            0.007525,            0.007525,            0.007525
                  27,            0.029709,            0.023895,          0.00017359,             0.88814,             0.85283,             0.87343,             0.61455,            0.025249,            0.030013,          9.4362e-05,            0.007426,            0.007426,            0.007426
